epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,6985.1,1.12956,0.6044,1.00989,0.85418,0.78649,0.83324,0.52502,1.05271,0.51923,0.95833,0.000526063,0.000526063,0.000526063
119,7043.54,1.15392,0.61207,1.01169,0.85524,0.79149,0.83673,0.52625,1.05347,0.50987,0.96218,0.000519875,0.000519875,0.000519875
120,7102.14,1.11178,0.59538,1.00102,0.87162,0.77919,0.83303,0.52092,1.05784,0.51814,0.96435,0.000513688,0.000513688,0.000513688
121,7161.25,1.12059,0.60255,1.00464,0.89965,0.78707,0.84186,0.53049,1.05515,0.51671,0.95885,0.0005075,0.0005075,0.0005075
122,7220.26,1.1398,0.6069,1.02192,0.85988,0.78592,0.82844,0.52255,1.04644,0.51764,0.95619,0.000501313,0.000501313,0.000501313
123,7279.23,1.11824,0.59007,1.00785,0.89462,0.7964,0.85227,0.54043,1.04387,0.50526,0.96158,0.000495125,0.000495125,0.000495125
124,7338.16,1.13073,0.59695,1.01578,0.88968,0.78428,0.84716,0.53278,1.04603,0.50468,0.96102,0.000488938,0.000488938,0.000488938
125,7397.34,1.12747,0.59691,1.00852,0.87372,0.78543,0.84124,0.53267,1.04892,0.51205,0.9569,0.00048275,0.00048275,0.00048275
126,7456.39,1.14211,0.5946,1.01803,0.85564,0.78276,0.84008,0.53307,1.051,0.51132,0.96258,0.000476562,0.000476562,0.000476562
127,7516.11,1.12633,0.60335,1.01447,0.86313,0.7841,0.83592,0.53387,1.04087,0.50832,0.95576,0.000470375,0.000470375,0.000470375
128,7577.44,1.10423,0.58585,1.00958,0.85988,0.78549,0.83754,0.53681,1.03715,0.50801,0.95511,0.000464188,0.000464188,0.000464188
129,7638.71,1.11796,0.59965,1.00874,0.86117,0.80156,0.84809,0.54084,1.04251,0.51626,0.95565,0.000458,0.000458,0.000458
130,7700.21,1.09158,0.58109,1.00234,0.89367,0.77921,0.84797,0.53563,1.04105,0.50879,0.95427,0.000451813,0.000451813,0.000451813
131,7761.33,1.10643,0.58181,1.00701,0.87282,0.77353,0.83788,0.53541,1.03927,0.50733,0.95322,0.000445625,0.000445625,0.000445625
132,7822.5,1.11497,0.59052,0.9972,0.84965,0.78545,0.84285,0.54559,1.04284,0.50416,0.94895,0.000439437,0.000439437,0.000439437
133,7883.79,1.11983,0.58808,1.00205,0.87744,0.78325,0.8447,0.54014,1.04397,0.5069,0.95352,0.00043325,0.00043325,0.00043325
134,7943.52,1.1123,0.59112,1.01402,0.89687,0.78087,0.84501,0.54445,1.03009,0.50206,0.94851,0.000427062,0.000427062,0.000427062
135,8003.04,1.09255,0.58037,0.99876,0.86637,0.78571,0.83997,0.53558,1.03583,0.50161,0.94788,0.000420875,0.000420875,0.000420875
136,8063.07,1.09854,0.57643,0.99931,0.86986,0.78593,0.84047,0.53802,1.04438,0.50321,0.95079,0.000414688,0.000414688,0.000414688
137,8124.41,1.13275,0.58893,1.00572,0.85736,0.7946,0.84019,0.53441,1.04583,0.50761,0.95273,0.0004085,0.0004085,0.0004085
138,8185.61,1.12568,0.59093,1.00332,0.88379,0.78378,0.84455,0.54014,1.03368,0.50126,0.94969,0.000402312,0.000402312,0.000402312
139,8246.69,1.10557,0.58962,1.00307,0.87486,0.78382,0.84176,0.54009,1.03458,0.50243,0.95065,0.000396125,0.000396125,0.000396125
140,8308.78,1.09128,0.5837,0.99965,0.87006,0.77741,0.84385,0.53941,1.03468,0.50132,0.95061,0.000389938,0.000389938,0.000389938
141,8370.39,1.1143,0.58979,1.00064,0.8808,0.79259,0.84978,0.54276,1.03638,0.50408,0.94998,0.00038375,0.00038375,0.00038375
142,8431.53,1.09951,0.58167,0.99543,0.88883,0.78353,0.84865,0.54162,1.03654,0.50071,0.95003,0.000377563,0.000377563,0.000377563
143,8494.2,1.09957,0.57697,1.00723,0.89074,0.76875,0.84448,0.54167,1.03268,0.50095,0.95137,0.000371375,0.000371375,0.000371375
144,8556.35,1.09956,0.57971,0.99669,0.89581,0.78102,0.85306,0.54184,1.03093,0.49979,0.94848,0.000365188,0.000365188,0.000365188
145,8617.75,1.09279,0.58221,0.99786,0.85772,0.78837,0.8444,0.54413,1.03486,0.49851,0.94978,0.000359,0.000359,0.000359
146,8677.62,1.07864,0.56588,0.98923,0.87747,0.78419,0.85342,0.54182,1.03005,0.50251,0.95039,0.000352812,0.000352812,0.000352812
147,8739.13,1.067,0.56117,0.98981,0.87293,0.78018,0.84262,0.5456,1.02668,0.49728,0.94837,0.000346625,0.000346625,0.000346625
148,8800.55,1.08071,0.56141,0.9817,0.89415,0.78889,0.85605,0.54675,1.02602,0.49348,0.94955,0.000340438,0.000340438,0.000340438
149,8861.88,1.09796,0.57465,0.99975,0.88942,0.78557,0.85461,0.54715,1.02594,0.49578,0.94895,0.00033425,0.00033425,0.00033425
150,8925.67,1.0794,0.57046,0.98398,0.87413,0.78671,0.84972,0.54113,1.03911,0.49879,0.95021,0.000328063,0.000328063,0.000328063
151,8988.01,1.07326,0.56104,0.98312,0.86739,0.80361,0.85791,0.54723,1.0367,0.49634,0.94872,0.000321875,0.000321875,0.000321875
152,9050.15,1.12091,0.59105,1.00011,0.86382,0.79969,0.84776,0.54462,1.02344,0.49446,0.94536,0.000315687,0.000315687,0.000315687
153,9111.94,1.09645,0.56609,0.99191,0.86414,0.79503,0.84825,0.53896,1.02819,0.49815,0.94978,0.0003095,0.0003095,0.0003095
154,9173.6,1.07921,0.56652,0.99482,0.86028,0.78399,0.83861,0.53663,1.0194,0.49646,0.94689,0.000303313,0.000303313,0.000303313
155,9234.07,1.08964,0.56965,0.99231,0.88536,0.77985,0.84381,0.54196,1.02524,0.49955,0.94692,0.000297125,0.000297125,0.000297125
156,9296,1.08333,0.57098,0.99799,0.89191,0.78664,0.8465,0.53936,1.02217,0.49188,0.9471,0.000290937,0.000290937,0.000290937
157,9356.62,1.06425,0.55468,0.9831,0.88479,0.7817,0.83947,0.53821,1.02275,0.49593,0.94873,0.00028475,0.00028475,0.00028475
158,9417.8,1.06367,0.55768,0.97945,0.8789,0.80456,0.84806,0.5387,1.0235,0.49318,0.9487,0.000278562,0.000278562,0.000278562
159,9479.8,1.08204,0.55913,0.9944,0.89338,0.79991,0.84803,0.54238,1.02128,0.49323,0.94404,0.000272375,0.000272375,0.000272375
160,9541.68,1.0702,0.55371,0.99294,0.88239,0.79597,0.84486,0.54238,1.01844,0.49067,0.94358,0.000266187,0.000266187,0.000266187
161,9603.33,1.09161,0.5628,0.98745,0.88524,0.78698,0.84973,0.55171,1.01127,0.49224,0.94207,0.00026,0.00026,0.00026
162,9664.9,1.0616,0.55534,0.98646,0.88407,0.7897,0.84465,0.55062,1.01339,0.49508,0.94159,0.000253812,0.000253812,0.000253812
163,9726.65,1.05751,0.55328,0.98322,0.88112,0.78457,0.84603,0.54802,1.01499,0.49065,0.94072,0.000247625,0.000247625,0.000247625
164,9788.62,1.05638,0.55444,0.9846,0.87547,0.79722,0.85261,0.55004,1.01277,0.49308,0.94245,0.000241438,0.000241438,0.000241438
165,9850.34,1.05323,0.54533,0.98278,0.88596,0.79616,0.84998,0.55128,1.01431,0.49138,0.94457,0.00023525,0.00023525,0.00023525
166,9912.41,1.05193,0.54844,0.9735,0.8906,0.80199,0.85339,0.54594,1.02088,0.49049,0.94458,0.000229063,0.000229063,0.000229063
167,9974.56,1.05284,0.55177,0.98472,0.88865,0.79058,0.85138,0.54874,1.02116,0.49034,0.94457,0.000222875,0.000222875,0.000222875
168,10036.5,1.03961,0.54756,0.97471,0.90335,0.79115,0.85389,0.55075,1.01726,0.49128,0.94389,0.000216688,0.000216688,0.000216688
169,10098.8,1.06968,0.54969,0.98041,0.88792,0.78913,0.84474,0.54724,1.01664,0.48866,0.94409,0.0002105,0.0002105,0.0002105
170,10161.3,1.07379,0.55758,0.98387,0.88004,0.79445,0.84168,0.54729,1.01248,0.48568,0.94267,0.000204313,0.000204313,0.000204313
171,10223.3,1.04565,0.54114,0.97582,0.87808,0.79326,0.84139,0.54545,1.01911,0.48953,0.94562,0.000198125,0.000198125,0.000198125
172,10285.7,1.05311,0.55119,0.98188,0.88622,0.78811,0.84324,0.54315,1.01894,0.48906,0.94372,0.000191938,0.000191938,0.000191938
173,10352.2,1.04817,0.54246,0.97586,0.88961,0.7866,0.84572,0.54515,1.01793,0.48719,0.94255,0.00018575,0.00018575,0.00018575
174,10414.1,1.04732,0.54173,0.97921,0.89189,0.78029,0.84875,0.54872,1.01689,0.48652,0.94043,0.000179563,0.000179563,0.000179563
175,10475.3,1.03762,0.53991,0.97193,0.89869,0.78809,0.8472,0.54926,1.01384,0.48662,0.94041,0.000173375,0.000173375,0.000173375
176,10536.9,1.04053,0.54172,0.96957,0.8934,0.7884,0.84489,0.55038,1.01167,0.4845,0.94017,0.000167188,0.000167188,0.000167188
177,10598.7,1.0429,0.54188,0.98012,0.88757,0.78468,0.84203,0.55071,1.01475,0.48744,0.94074,0.000161,0.000161,0.000161
178,10660.6,1.03117,0.54199,0.96198,0.87723,0.78297,0.84154,0.54981,1.01373,0.48745,0.93912,0.000154812,0.000154812,0.000154812
